uid	taxid	organism	superkingdom	ph	temperature	ec	synthesized	substrate_available	total_soluble	total_active	batch	glycolate	lactate	2-hydroxyglutarate	2-hydroxyoctanoate	2-hydroxystearate	mandelate	in_brenda	in_swissprot	pfam	max_database_sim	max_active_sim	max_all_sim
A0A0P0RP68	1323664.0	Paraburkholderia caribensis	Bacteria	NA	29.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01565,PF02913	17.6	28.9	28.9
K6YJA5	1128912.0	Paraglaciecola mesophila	Bacteria	7.6	25.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01070	38.4	39.9	39.9
Q0BSS4	391165.0	Granulibacter bethesdensis	Bacteria	NA	36.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01565,PF02913	17.4	27.3	27.3
Q15TJ7	342610.0	Pseudoalteromonas atlantica	Bacteria	7.6	22.0	1.1.3.15	Yes	Yes	Yes	No	second	No	No	No	No	No	No	No	No	PF01070	38.4	40.2	40.2
A0A0M7MCW0	134375.0	Achromobacter sp.	Bacteria	7.1	28.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	17.8	56.0	56.0
A0A0J5QHZ2	1618204.0	Puniceibacterium sp.	Bacteria	NA	NA	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01070	41.1	50.1	50.1
B8MMC0	441959.0	Talaromyces stipitatus	Eukaryota	5.6	25.0	1.1.3.15	Yes	Yes	Yes	No	second	No	No	No	No	No	No	No	No	PF00173,PF01070	27.2	40.2	40.2
K0N926	651182.0	Desulfobacula toluolica	Bacteria	7.08	28.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01565,PF02913	16.7	33.0	33.0
K4XG77	1165939.0	Escherichia coli	Bacteria	7.01	36.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	17.3	98.8	98.8
G0AHZ0	1005048.0	Collimonas fungivorans	Bacteria	6.5	27.0	1.1.3.15	Yes	Yes	No	NA	second	NA	NA	NA	NA	NA	NA	No	No	PF01565,PF02913	16.4	28.5	28.5
A1W3D8	232721.0	Acidovorax sp.	Bacteria	7.05	29.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01070	36.9	43.4	43.4
G6CCJ7	28038.0	Lactobacillus curvatus	Bacteria	6.35	31.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01070	57.2	57.2	57.2
Q39640	170850.0	Cucurbita hybrid	Eukaryota	NA	NA	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01070	89.9	37.7	89.9
A0A0H2LZ12	34073.0	Variovorax paradoxus	Bacteria	6.91	28.0	1.1.3.15	Yes	Yes	Yes	No	second	No	No	No	No	No	No	No	No	PF01266	18.2	22.0	22.0
Q0S3N6	101510.0	Rhodococcus jostii	Bacteria	7.3	29.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01070	34.6	33.9	34.6
A0A0U7MNV1	615.0	Serratia marcescens	Bacteria	7.07	29.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	16.5	99.2	99.2
A0A024KQQ4	1400022.0	Escherichia coli	Bacteria	7.01	36.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	17.1	99.1	99.1
K9PNA8	99598.0	Calothrix sp.	Bacteria	NA	23.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01070	49.2	41.6	49.2
F5SJF4	997346.0	Desmospora sp.	Bacteria	NA	NA	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF02754	15.7	16.8	16.8
W1AXB1	1432547.0	Klebsiella pneumoniae	Bacteria	7.07	34.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	15.8	52.8	52.8
E5AM76	882378.0	Paraburkholderia rhizoxinica	Bacteria	NA	29.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01565,PF02913	18.6	26.7	26.7
P93260	3544.0	Mesembryanthemum crystallinum	Eukaryota	NA	NA	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01070	92.4	36.8	92.4
A0A0E9FU67	813.0	Chlamydia trachomatis	Bacteria	NA	37.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266,PF04324	17.6	24.8	24.8
D3QPL1	701177.0	Escherichia coli	Bacteria	7.01	36.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	16.4	93.9	93.9
D7FDJ3	693745.0	Helicobacter pylori	Bacteria	NA	37.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01565,PF02913	16.7	32.0	32.0
A0A080LV49	1454002.0	Candidatus accumulibacter	Bacteria	NA	NA	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	17.7	74.5	74.5
A0A0H6BK84	666.0	Vibrio cholerae	Bacteria	NA	36.0	1.1.3.15	Yes	Yes	No	NA	first	NA	NA	NA	NA	NA	NA	No	No	PF01266	15.4	33.6	33.6
A0A0U5PE87	1776046.0	Clostridium sp.	Bacteria	7.0	35.0	1.1.3.15	No	NA	NA	NA	second	NA	NA	NA	NA	NA	NA	No	No	PF01266,PF04324	15.8	25.3	25.3
M4YUM8	1054217.0	Thermoplasmatales archaeon	Archaea	NA	NA	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01565,PF02913	16.7	32.4	32.4
G4CXE1	997355.0	Cutibacterium avidum	Bacteria	NA	37.0	1.1.3.15	Yes	Yes	No	NA	first	NA	NA	NA	NA	NA	NA	No	No	PF02754	17.3	16.5	17.3
Q0I8G2	64471.0	Synechococcus sp.	Bacteria	NA	21.0	1.1.3.15	Yes	Yes	No	NA	second	NA	NA	NA	NA	NA	NA	No	No	PF01565,PF02913	15.6	27.1	27.1
B2U083	344609.0	Shigella boydii	Bacteria	7.3	35.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	17.1	98.3	98.3
A4FGG6	405948.0	Saccharopolyspora erythraea	Bacteria	7.2	27.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01565,PF02913	18.7	34.6	34.6
Q8XW09	267608.0	Ralstonia solanacearum	Bacteria	7.0	29.0	1.1.3.15	Yes	Yes	No	NA	first	NA	NA	NA	NA	NA	NA	No	No	PF01565,PF02913	17.2	27.6	27.6
A0A0D6B719	35806.0	Rhodovulum sulfidophilum	Bacteria	6.8	25.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01565,PF02913	18.0	28.6	28.6
H5VDZ6	1002805.0	Helicobacter bizzozeronii	Bacteria	NA	37.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01565,PF02913	17.4	31.7	31.7
A9IQN3	340100.0	Bordetella petrii	Bacteria	7.3	34.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01565,PF02913	16.9	28.2	28.2
A0A073VDS5	1686378.0	Citrobacter sp.	Bacteria	7.14	33.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	16.5	92.4	92.4
A0A0M2UTX8	380242.0	Candidatus brocadia	Bacteria	NA	NA	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01565	16.0	9.0	16.0
V3K8Y9	1328376.0	Klebsiella quasipneumoniae	Bacteria	7.0	34.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	17.4	89.6	89.6
A0A0K3BPM4	703222.0	Kibdelosporangium sp.	Bacteria	NA	NA	1.1.3.15	Yes	Yes	No	NA	first	NA	NA	NA	NA	NA	NA	No	No		16.1	19.8	19.8
Q1LJ75	266264.0	Cupriavidus metallidurans	Bacteria	6.9	30.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01565	17.6	20.2	20.2
Q8VX88	71647.0	Pinus pinaster	Eukaryota	NA	NA	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01070	81.2	9.8	81.2
A8ELY1	360118.0	Burkholderia pseudomallei	Bacteria	NA	37.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF00109,PF00550,PF02801,PF08659,PF16197	9.9	10.3	10.3
A0A0A7DLL0	83154.0	Bassia scoparia	Eukaryota	NA	NA	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01070	91.6	38.7	91.6
S0EYS9	1303518.0	Chthonomonas calidirosea	Bacteria	6.93	60.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01565,PF02913	17.0	30.6	30.6
A2SED3	420662.0	Methylibium petroleiphilum	Bacteria	NA	26.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01565,PF02913	19.0	22.9	22.9
A0A0M2N5Q0	569.0	Hafnia alvei	Bacteria	7.0	32.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	15.7	80.1	80.1
A0A0L6Y4N7	562.0	Escherichia coli	Bacteria	7.01	36.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	16.9	98.8	98.8
F4CZ97	675635.0	Pseudonocardia dioxanivorans	Bacteria	7.2	27.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01070	38.7	41.2	41.2
B7PI59	6945.0	Ixodes scapularis	Eukaryota	NA	NA	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01070	24.2	19.3	24.2
Q82WJ9	228410.0	Nitrosomonas europaea	Bacteria	NA	28.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01565,PF02913	16.7	28.9	28.9
I6GYD6	766154.0	Shigella flexneri	Bacteria	7.0	35.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	16.5	68.2	68.2
E9XHJ7	656449.0	Escherichia coli	Bacteria	7.01	36.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	17.1	99.3	99.3
A0A0F4HJR2	562.0	Escherichia coli	Bacteria	7.01	36.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	17.1	99.1	99.1
A0A0F7PEF6	1604004.0	Halanaeroarchaeum sulfurireducens	Archaea	NA	NA	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	17.7	40.1	40.1
A0A0H2V341	623.0	Shigella flexneri	Bacteria	7.0	35.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	16.5	93.9	93.9
A0A0K2Y9J4	35817.0	Helicobacter heilmannii	Bacteria	NA	37.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No		19.8	13.5	19.8
A4YVE0	114615.0	Bradyrhizobium sp.	Bacteria	7.0	27.0	1.1.3.15	Yes	Yes	Yes	Yes	first	No	No	Yes	Yes	No	Yes	No	No	PF01070	34.4	100.0	100.0
G9Y0V0	1002364.0	Hafnia alvei	Bacteria	7.0	32.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	16.8	81.3	81.3
W6RA91	1182590.0	Pseudomonas pseudoalcaligenes	Bacteria	7.03	29.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01565,PF02913	16.8	28.6	28.6
H0T9T4	551936.0	Bradyrhizobium sp.	Bacteria	7.0	27.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01565,PF02913	17.6	26.9	26.9
V0UTT8	1268991.0	Escherichia coli	Bacteria	7.01	36.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	16.6	98.8	98.8
D7FMI7	2880.0	Ectocarpus siliculosus	Eukaryota	NA	10.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01070	45.2	33.6	45.2
B9S0Y9	3988.0	Ricinus communis	Eukaryota	NA	NA	1.1.3.15	Yes	Yes	No	NA	first	NA	NA	NA	NA	NA	NA	No	No	PF01070	90.2	38.3	90.2
A0A090PSU2	265668.0	Vibrio ponticus	Bacteria	7.6	25.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	16.5	55.4	55.4
A0A0W0TN02	453.0	Legionella feeleii	Bacteria	6.9	37.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01070	43.6	36.6	43.6
Q8RIN5	190304.0	Fusobacterium nucleatum	Bacteria	7.08	37.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01565,PF02913	16.4	71.2	71.2
A0A0F6GRF2	562.0	Escherichia coli	Bacteria	7.01	36.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	16.7	98.1	98.1
A0A0P7Z009	1666908.0	Erythrobacteraceae bacterium	Bacteria	NA	NA	1.1.3.15	Yes	Yes	Yes	No	second	No	No	No	No	No	No	No	No	PF01565,PF02913	15.9	21.3	21.3
A0A0B2PXL7	3848.0	Glycine soja	Eukaryota	NA	NA	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01070	80.4	36.7	80.4
A0A0B2QZ39	3848.0	Glycine soja	Eukaryota	NA	NA	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01070	90.0	38.3	90.0
Q3IZ31	272943.0	Rhodobacter sphaeroides	Bacteria	6.8	28.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01565,PF02913	16.7	27.2	27.2
A0A0I9NKE4	244366.0	Klebsiella variicola	Bacteria	7.0	29.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	18.6	88.4	88.4
Q98DF1	266835.0	Mesorhizobium japonicum	Bacteria	NA	NA	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01070	40.6	36.4	40.6
I0VTU9	562.0	Escherichia coli	Bacteria	7.01	36.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	16.9	99.3	99.3
A9AUI7	316274.0	Herpetosiphon aurantiacus	Bacteria	7.2	28.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01070	46.8	36.9	46.8
D8N7C8	859655.0	Ralstonia solanacearum	Bacteria	7.0	29.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01565,PF02913	17.0	27.6	27.6
A0A0H2VBC2	199310.0	Escherichia coli	Bacteria	7.01	36.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	16.2	94.4	94.4
A0RBC1	412694.0	Bacillus thuringiensis	Bacteria	7.0	30.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01565,PF02913	16.4	33.2	33.2
A0A0G3J0W6	656403.0	Escherichia coli	Bacteria	7.01	36.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	16.2	93.9	93.9
H0RSU3	115808.0	Bradyrhizobium sp.	Bacteria	7.0	27.0	1.1.3.15	Yes	Yes	No	NA	first	NA	NA	NA	NA	NA	NA	No	No	PF02754	17.6	15.7	17.6
F4VIN9	656408.0	Escherichia coli	Bacteria	7.01	36.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	15.9	94.4	94.4
A0A0M7LBC1	134375.0	Achromobacter sp.	Bacteria	7.1	28.0	1.1.3.15	Yes	Yes	Yes	No	first	No	No	No	No	No	No	No	No	PF01266	17.8	55.0	55.0
A2CCV2	59922.0	Prochlorococcus marinus	Bacteria	NA	20.0	1.1.3.15	Yes	Yes	No	NA	first	NA	NA	NA	NA	NA	NA	No	No	PF01565	18.6	20.7	20.7
K4LGZ0	1089553.0	Thermacetogenium phaeum	Bacteria	7.05	55.0	1.1.3.15	Yes	Yes	Yes	No	first	No	No	No	No	No	No	No	No	PF01565,PF02913	18.9	21.7	21.7
B7PIA0	6945.0	Ixodes scapularis	Eukaryota	NA	NA	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01070	16.5	13.9	16.5
B7P606	6945.0	Ixodes scapularis	Eukaryota	NA	NA	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01070	19.4	11.0	19.4
L3C3U3	1181739.0	Escherichia coli	Bacteria	7.01	36.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	16.6	99.1	99.1
S0FVM6	1286635.0	Desulfotignum phosphitoxidans	Bacteria	7.1	30.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01565,PF02913	17.2	31.7	31.7
A0A0H2M0K0	34073.0	Variovorax paradoxus	Bacteria	6.91	28.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	19.4	55.9	55.9
C8X9C2	479431.0	Nakamurella multipartita	Bacteria	7.25	28.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01070	34.5	35.8	35.8
A0A0K2XCH6	1578720.0	Helicobacter ailurogastricus	Bacteria	NA	NA	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01565,PF02913	17.7	27.3	27.3
A0A0I0YAM2	624.0	Shigella sonnei	Bacteria	7.0	34.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	16.9	98.8	98.8
A0A0S2NCC0	NA	NA	Bacteria	NA	NA	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	17.1	97.9	97.9
A0A0K2YE40	35817.0	Helicobacter heilmannii	Bacteria	NA	37.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01565,PF02913	15.9	32.4	32.4
A0A0K2XUN8	35817.0	Helicobacter heilmannii	Bacteria	NA	37.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01565,PF02913	15.9	32.4	32.4
A6Q1U6	387092.0	Nitratiruptor sp.	Bacteria	NA	NA	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01565,PF02913	17.8	34.7	34.7
Q1CU22	357544.0	Helicobacter pylori	Bacteria	NA	37.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01565,PF02913	17.5	32.2	32.2
W1AS28	NA	NA	Bacteria	NA	NA	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	18.3	89.3	89.3
M2WRR8	130081.0	Galdieria sulphuraria	Eukaryota	NA	NA	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01070	56.0	35.4	56.0
S7WFA4	641524.0	Cyclobacterium qasimii	Bacteria	NA	NA	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	17.5	69.2	69.2
T8K2V6	1281168.0	Escherichia coli	Bacteria	7.01	36.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	16.9	98.6	98.6
K5VRB7	992012.0	Vibrio sp.	Bacteria	7.45	29.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	17.4	52.6	52.6
A0A0K0TUB1	1643450.0	Devosia sp.	Bacteria	NA	28.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	17.4	48.1	48.1
F5S6P2	887327.0	Kingella kingae	Bacteria	NA	33.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01565,PF02754,PF02913,PF11880,PF12447,PF13183	9.7	10.5	10.5
G0ESW4	1042878.0	Cupriavidus necator	Bacteria	6.89	29.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01565,PF02913	17.3	37.6	37.6
A2R0X2	425011.0	Aspergillus niger	Eukaryota	5.6	26.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01070	36.7	34.3	36.7
A0A0U5DT85	40324.0	Stenotrophomonas maltophilia	Bacteria	7.27	30.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01565,PF02913	17.6	34.6	34.6
I4EZV3	477641.0	Modestobacter marinus	Bacteria	7.2	28.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01070	37.8	38.0	38.0
Q5WFZ5	66692.0	Bacillus clausii	Bacteria	8.28	31.0	1.1.3.15	No	NA	NA	NA	second	NA	NA	NA	NA	NA	NA	No	No	PF01565,PF02913	16.6	29.1	29.1
A0A0E1S1N5	425067.0	Burkholderia pseudomallei	Bacteria	NA	37.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF00109,PF00550,PF02801,PF08659,PF16197,PF95024	9.9	10.3	10.3
N4PG13	1116023.0	Escherichia coli	Bacteria	7.01	36.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	16.3	98.3	98.3
A0A0J1FVG5	476652.0	Desulfosporosinus acididurans	Bacteria	NA	30.0	1.1.3.15	Yes	Yes	Yes	No	second	No	No	No	No	No	No	No	No	PF01266	18.2	40.0	40.0
A0A090FKU8	69974.0	Mesorhizobium plurifarium	Bacteria	7.0	30.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01565,PF02913	16.5	29.3	29.3
G4HQU0	931627.0	Mycolicibacterium rhodesiae	Bacteria	NA	NA	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01070	37.9	38.9	38.9
G8SBJ3	134676.0	Actinoplanes sp.	Bacteria	7.13	27.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01565,PF02913	17.1	29.2	29.2
E0QJI9	864565.0	[eubacterium] yurii	Bacteria	NA	NA	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01565,PF02913	16.7	71.6	71.6
A6SUS9	375286.0	Janthinobacterium sp.	Bacteria	NA	NA	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01565	17.9	20.1	20.1
K1L399	1224748.0	Solibacillus isronensis	Bacteria	NA	NA	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	15.9	57.6	57.6
E5YJ45	469613.0	Enterobacteriaceae bacterium	Bacteria	NA	26.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	17.5	81.3	81.3
Q3EWG9	339854.0	Bacillus thuringiensis	Bacteria	7.0	30.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01565,PF02913	16.8	33.2	33.2
A2SM02	420662.0	Methylibium petroleiphilum	Bacteria	NA	26.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01565,PF02913	15.6	28.1	28.1
E1V7C1	768066.0	Halomonas elongata	Bacteria	7.36	29.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01565,PF02913	16.0	28.3	28.3
C9YF25	667019.0	Curvibacter putative	Bacteria	NA	NA	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01565,PF02913	11.2	19.9	19.9
B8MKR3	441959.0	Talaromyces stipitatus	Eukaryota	5.6	25.0	1.1.3.15	Yes	Yes	Yes	Yes	second	Yes	Yes	Yes	Yes	No	Yes	No	No	PF00173,PF01070	28.6	100.0	100.0
L0M7M1	693444.0	Enterobacteriaceae bacterium	Bacteria	NA	26.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	17.1	99.3	99.3
D4XA33	742159.0	Achromobacter piechaudii	Bacteria	7.15	31.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01565	18.2	19.6	19.6
D4XA32	742159.0	Achromobacter piechaudii	Bacteria	7.15	31.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01565,PF02913	17.1	28.1	28.1
W9D4X9	1352929.0	Frankia sp.	Bacteria	NA	28.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01565,PF02913	17.5	31.0	31.0
A0A075KIL9	484770.0	Pelosinus sp.	Bacteria	NA	NA	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01070	28.3	28.9	28.9
C2JYX2	525361.0	Lactobacillus rhamnosus	Bacteria	6.35	37.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01070	60.1	48.8	60.1
A0A0F7Y5G1	1649877.0	Pseudomonas sp.	Bacteria	7.08	29.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	16.8	52.5	52.5
K5V8K6	669.0	Vibrio harveyi	Bacteria	7.48	29.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	17.1	53.0	53.0
F4NHG4	556266.0	Escherichia coli	Bacteria	7.01	36.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	16.3	94.4	94.4
I6HD20	766154.0	Shigella flexneri	Bacteria	7.0	35.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	16.1	91.7	91.7
